r,g,b
212,145,56
207,230,220
185,48,6
0,68,125
244,235,178
247,228,134
241,120,47
238,224,213
240,139,129
183,212,218
223,237,201
255,168,0
149,178,36
141,3,0
231,235,198
239,237,188
36,101,159
143,53,0
240,213,206
86,141,180
98,55,21
90,194,133
224,112,124
148,174,163
204,201,122
79,155,81
40,124,171
246,197,0
247,181,107
232,105,36
91,158,1
246,189,182
202,153,136
157,136,117
133,153,190
151,137,136
212,145,56
207,230,220
185,48,6
0,68,125
244,235,178
247,228,134
