SNo,Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
170,Red deer,calf,hind,stag,herd,?,venison
171,Red panda,cub,sow,boar,pack,ailuirine,
172,Reindeer,calf,cow,bull,herd,rangiferine,
173,Rhinoceros,calf,cow,bull,crash,ceratorhine,
174,Rook,?,?,?,building,?,
175,Ruff,?,?,?,hill,?,
176,Salamander,tadpole,sow,boar,maelstrom,caudatan,
177,Salmon,?,hen,cock,run,salmonine,
178,Sand Dollar,larva pluteus (free swimming stage),?,?,?,clypeasteroid,
179,Sandpiper,?,?,?,fling,scolopacine,
180,Sardine,?,?,?,family,?,
181,Scorpion,?,?,?,bed,?,
182,Sea lion,pup,cow,bull,pod,otarine,
183,Sea Urchin,larva pluteus (free swimming stage),?,?,?,?,
184,Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
185,Seal,pup,cow,bull,harem,phocine,
186,Shark,cub,?,bull,school,selachian,flake (AUS)
187,Sheep,lamb,ewe,ram,down,ovine,lamb
188,Shrew,shrewlet,sow,boar,colony,soricine,
189,Shrimp,,,,,,
190,Skunk,kit,sow,boar,surfeit,mephitine,
191,Snail,・E,・E,・E,hood,gastropodian,escargot
192,Snake,snakelet,N/A,N/A,nest,anguine,
193,Spider,spiderling,?,?,cluster,arachnine,
194,Squid,chick,hen,cock,audience,tethidine,calamari
195,Squirrel,pup,doe,buck,dray,sciurine,
196,Starling,?,?,?,chattering,sturnine,
197,Stingray,?,?,?,fever,myliobatoid,
198,Stinkbug,nymph,?,?,intrusion,pentatomidae,
199,Stork,?,?,?,muster,ciconine,
200,Swallow,?,?,?,flight,hirundinine,
201,Swan,cygnet,pen,cob,bank,cygnine,
202,Tapir,calf,cow,bull,herd,tapirine,
203,Tarsier,infant,doe,buck,herd,tarsiine,
204,Termite,larva,cow,bull,brood,isopteran,
205,Tiger,cub,tigress,tiger,ambush,tigrine,
206,Toad,tadpole,N/A,N/A,knot,ranine,
207,Trout,fingerling,hen,cock,hover,?,
208,Turkey,poult,hen,tom,rafter,?,poultry
209,Turtle,hatchling,N/A,N/A,bale,chelonian,
211,Viper,?,?,?,generation,viperine,
212,Vulture,?,?,?,venue,?,
213,Wallaby,joey,jill,jack,mob,?,
214,Walrus,calf,cow,bull,herd,odobenine,
215,Wasp,larva,queen,drone,swarm,vespine,
216,Water buffalo,calf,cow,bull,pot,,carabeef
217,Weasel,pup,bitch,buck,gang,musteline,
218,Whale,calf,cow,bull,gam,cetacean,blubber
219,Wolf,cub,bitch,dog,pack,lupine,
220,Wolverine,kit,angeline,wolverine,pack,musteline,
221,Wombat,joey,jill,jack,mob,?,
222,Woodcock,?,?,?,fall,?,
223,Woodpecker,chick,?,?,descent,picine,
224,Worm,wormlet,?,?,bed,helminthic,
225,Wren,chick,cow,bull,herd,troglodytine,
226,Yak,calf,cow,bull,herd,?,
227,Zebra,colt,mare,stallion,herd,zebrine,
